Iteration	Y	var_1	var_2	var_3
1.0	341.2978616801658	5.0	0.8020316827446456	100.0
2.0	340.72398035154964	1.0	0.9955550397189858	50.0
3.0	339.1061475217451	5.0	0.523188018434553	15.0
4.0	378.8095318175282	2.0	0.976306344824684	5.0
5.0	341.2686985426289	2.0	0.6480565036092519	30.0
6.0	343.56335445803603	4.0	0.5411880242389215	50.0
7.0	339.3624863639645	0.0	0.8274272237921557	50.0
8.0	334.5815698704453	5.0	0.8422146314565341	30.0
9.0	334.5323168748917	5.0	1.0	30.0
10.0	349.8511185397883	5.0	1.0	15.0
11.0	330.10312604870444	3.0	0.9917537931479722	30.0
12.0	334.5162820783823	0.0	1.0	30.0
13.0	357.4976394690625	1.0	1.0	30.0
14.0	341.0376999118856	3.0	0.9674361310117948	30.0
15.0	328.70499088522917	0.0	0.9207714577808463	30.0
16.0	326.6630354679777	0.0	0.7647194904992284	30.0
17.0	319.0338349761849	0.0	0.5	30.0
18.0	353.38631720983557	0.0	0.5	30.0
