Iteration	Y	var_1	var_2	var_3
1.0	148.5907411863291	0.0	0.5035276125876531	30.0
2.0	162.73646499258834	2.0	0.6920301022756465	100.0
3.0	134.93693901194007	5.0	0.936216449862638	50.0
4.0	164.536847791255	6.0	0.7355487299779198	15.0
5.0	168.74956422017573	2.0	0.7619991119135566	15.0
6.0	141.3277479323957	2.0	0.9302407773496981	50.0
7.0	177.8933598369365	6.0	0.8991001041340592	50.0
8.0	154.9033699766046	6.0	0.6407493765746111	15.0
9.0	142.72172036257058	5.0	0.858552408727355	50.0
10.0	144.23207118608957	5.0	1.0	50.0
11.0	163.27935424202826	5.0	0.8941724147166117	50.0
12.0	144.3375983288809	5.0	0.9641005706575843	50.0
13.0	137.58544240773125	5.0	1.0	50.0
14.0	142.60660376079403	5.0	1.0	50.0
